pregunta,opcion1,opcion2,opcion3,respuesta_correcta,categoria,puntaje
¿Qué planeta es conocido como el planeta rojo?,Venus,Júpiter,Marte,1,Ciencia,50
¿Cuál es el estado del agua a 0°C?,Líquido,Gas,Sólido,1,Ciencia,50
¿Qué gas respiramos principalmente?,Oxígeno,Nitrógeno,Hidrógeno,1,Ciencia,50
¿Cuál es el hueso más largo del cuerpo humano?,Radio,Fémur,Húmero,1,Ciencia,50
¿Qué órgano bombea sangre?,Corazón,Hígado,Pulmón,1,Ciencia,50
¿Cuántos elementos hay en la tabla periódica?,112,118,100,1,Ciencia,100
¿Qué tipo de energía produce el Sol?,Nuclear,Cinética,Térmica,1,Ciencia,100
¿Qué científico desarrolló la teoría de la relatividad?,Tesla,Newton,Einstein,1,Ciencia,100
¿Qué parte de la célula contiene el ADN?,Mitocondria,Citoplasma,Núcleo,1,Ciencia,100
¿Cuál es la fórmula química del agua?,NaCl,CO2,H2O,1,Ciencia,100
¿Qué partícula subatómica tiene carga positiva?,Neutrón,Protón,Electrón,1,Ciencia,150
¿Qué ley describe la gravedad?,Ley de Faraday,Ley de Newton,Ley de Ohm,1,Ciencia,150
¿Qué científico descubrió la penicilina?,Fleming,Darwin,Curie,1,Ciencia,150
¿Qué unidad mide la intensidad de corriente?,Voltio,Ohmio,Amperio,1,Ciencia,150
¿Qué planeta tiene un día más largo que su año?,Venus,Saturno,Mercurio,1,Ciencia,150
¿Quién fue el primer presidente de Argentina?,San Martín,Belgrano,Rivadavia,1,Historia,50
¿En qué año fue la Revolución de Mayo?,1816,1806,1810,1,Historia,50
¿De qué país era Napoleón?,Italia,Francia,España,1,Historia,50
¿Cuál fue la causa de la Segunda Guerra Mundial?,Invasión a Polonia,Colonialismo,Muerte de un archiduque,1,Historia,50
¿Quién escribió el Martín Fierro?,Rosas,Sarmiento,José Hernández,1,Historia,50
¿Quién descubrió América?,Cristóbal Colón,Magallanes,Américo Vespucio,1,Historia,100
¿Qué imperio construyó el Coliseo?,Romano,Griego,Egipcio,1,Historia,100
¿Qué país fue dividido por el Muro de Berlín?,Austria,Polonia,Alemania,1,Historia,100
¿Quién fue Juana de Arco?,Heroína francesa,Emperatriz romana,Reina inglesa,1,Historia,100
¿Qué guerra terminó en 1945?,Primera Guerra Mundial,Segunda Guerra Mundial,Guerra Fría,1,Historia,100
¿Qué tratado puso fin a la Primera Guerra Mundial?,Tratado de París,Tratado de Viena,Tratado de Versalles,1,Historia,150
¿En qué año cayó el Imperio Romano de Occidente?,1066,1492,476,1,Historia,150
¿Qué revolución ocurrió en 1917?,Industrial,Francesa,Rusa,1,Historia,150
¿Quién fue Ramsés II?,Emperador griego,Faraón egipcio,Rey babilonio,1,Historia,150
¿Qué país inició la Reforma Protestante?,Italia,Alemania,Inglaterra,1,Historia,150
¿Quién es el protagonista de Harry Potter?,Harry Potter,Hermione Granger,Ron Weasley,1,Entretenimiento,50
¿Qué personaje es amarillo y vive en una piña?,Minion,Homero,Bob Esponja,1,Entretenimiento,50
¿Qué saga tiene un anillo único?,El Señor de los Anillos,Star Wars,Harry Potter,1,Entretenimiento,50
¿Quién canta 'Thriller'?,Michael Jackson,Elvis Presley,Madonna,1,Entretenimiento,50
¿Qué videojuego tiene a Mario como personaje?,Super Mario,Zelda,Minecraft,1,Entretenimiento,50
¿Quién dirigió 'Titanic'?,Peter Jackson,James Cameron,Steven Spielberg,1,Entretenimiento,100
¿Qué serie tiene dragones y tronos?,The Witcher,Vikings,Game of Thrones,1,Entretenimiento,100
¿Qué película tiene a Thanos como villano?,Avengers,Thor,Iron Man,1,Entretenimiento,100
¿Cuál es el apellido de Sherlock?,Holmes,Moriarty,Watson,1,Entretenimiento,100
¿Qué personaje usa una espada láser?,Neo,Bilbo,Luke Skywalker,1,Entretenimiento,100
¿Qué actor interpretó a Gandalf?,Ian McKellen,Anthony Hopkins,Patrick Stewart,1,Entretenimiento,150
¿Quién ganó el Oscar a mejor película en 2020?,Joker,Parasite,1917,1,Entretenimiento,150
¿Qué director hizo 'Pulp Fiction'?,Tarantino,Kubrick,Scorsese,1,Entretenimiento,150
¿Qué banda compuso 'Bohemian Rhapsody'?,The Beatles,Queen,Pink Floyd,1,Entretenimiento,150
¿En qué año salió el primer PlayStation?,1999,2001,1994,1,Entretenimiento,150
